epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4953,1.4977,1.89707,1.44076,0.56366,0.39178,0.43846,0.2338,1.59052,2.51279,1.62448,0.00040012,0.00040012,0.00040012
2,41.2866,1.52305,1.4155,1.46162,0.54377,0.42617,0.43817,0.22593,1.68952,1.85041,1.80705,0.00079437,0.00079437,0.00079437
3,49.0334,1.55817,1.43553,1.48145,0.19746,0.19084,0.12721,0.05447,2.1429,3.79705,2.13617,0.00116811,0.00116811,0.00116811
4,55.4329,1.57645,1.416,1.45587,0.21378,0.26776,0.19324,0.09164,2.08884,2.51476,2.29204,0.0013229,0.0013229,0.0013229
5,63.2666,1.5467,1.37665,1.43037,0.52773,0.43383,0.43973,0.23342,1.6624,1.85211,1.68182,0.00128753,0.00128753,0.00128753
6,70.2006,1.53179,1.35033,1.46095,0.53169,0.45437,0.44737,0.22921,1.8194,2.31692,1.83361,0.00125216,0.00125216,0.00125216
7,77.3165,1.51958,1.32393,1.44425,0.58622,0.50326,0.50129,0.2696,1.62354,1.64938,1.58672,0.00121679,0.00121679,0.00121679
8,84.7438,1.51082,1.28016,1.41159,0.5867,0.52173,0.51498,0.27328,1.65667,1.51988,1.58257,0.00118143,0.00118143,0.00118143
9,91.6821,1.49036,1.25999,1.41145,0.58508,0.51281,0.54099,0.26196,1.67631,1.49011,1.57753,0.00114606,0.00114606,0.00114606
10,99.3896,1.47877,1.25286,1.42201,0.62818,0.55124,0.57417,0.29686,1.55325,1.35853,1.55322,0.00111069,0.00111069,0.00111069
11,106.001,1.47653,1.2076,1.39722,0.65587,0.53848,0.56259,0.32704,1.56999,1.42858,1.52857,0.00107532,0.00107532,0.00107532
12,113.779,1.44559,1.19924,1.39724,0.70285,0.53993,0.60921,0.33237,1.54047,1.33352,1.47718,0.00103995,0.00103995,0.00103995
13,120.456,1.44832,1.18268,1.3687,0.70609,0.58355,0.58885,0.3267,1.52825,1.2998,1.46349,0.00100459,0.00100459,0.00100459
14,128.264,1.43006,1.19722,1.36932,0.75438,0.54966,0.61392,0.33891,1.54624,1.26483,1.5002,0.000969219,0.000969219,0.000969219
15,134.972,1.38795,1.13052,1.34151,0.67422,0.62732,0.64134,0.3704,1.46304,1.16701,1.48428,0.000933851,0.000933851,0.000933851
16,142.705,1.35012,1.0489,1.30141,0.64601,0.58727,0.58592,0.33909,1.49079,1.24181,1.47932,0.000898484,0.000898484,0.000898484
17,149.37,1.32702,1.0928,1.33308,0.7024,0.60088,0.64364,0.38068,1.44011,1.21098,1.45747,0.000863116,0.000863116,0.000863116
18,157.046,1.33616,1.06465,1.31072,0.75683,0.5952,0.6414,0.35462,1.48707,1.25262,1.49131,0.000827748,0.000827748,0.000827748
19,164.55,1.34975,1.04205,1.30681,0.78348,0.54614,0.64489,0.38913,1.47167,1.20565,1.45021,0.00079238,0.00079238,0.00079238
20,171.24,1.29226,1.02198,1.28352,0.71489,0.60035,0.63859,0.38591,1.4295,1.18377,1.4324,0.000757013,0.000757013,0.000757013
21,178.975,1.2817,0.99912,1.27833,0.76644,0.59744,0.66692,0.40824,1.43946,1.13802,1.42836,0.000721645,0.000721645,0.000721645
22,185.706,1.25675,0.97562,1.26023,0.71551,0.64388,0.68104,0.41517,1.42341,1.07747,1.414,0.000686277,0.000686277,0.000686277
23,193.691,1.25206,0.96011,1.25987,0.79673,0.56733,0.68705,0.41616,1.43406,1.12881,1.42494,0.000650909,0.000650909,0.000650909
24,200.34,1.22399,0.92645,1.24695,0.77876,0.63664,0.69748,0.43197,1.38241,1.07352,1.40241,0.000615542,0.000615542,0.000615542
25,208.108,1.26555,0.93859,1.25792,0.7616,0.61603,0.66986,0.42214,1.41368,1.09179,1.40404,0.000580174,0.000580174,0.000580174
26,214.629,1.2,0.9407,1.22829,0.75244,0.66713,0.70493,0.44818,1.31668,1.00437,1.35941,0.000544806,0.000544806,0.000544806
27,222.356,1.21795,0.94589,1.24742,0.77557,0.66147,0.72013,0.44741,1.35136,1.00678,1.38473,0.000509438,0.000509438,0.000509438
28,229.8,1.18152,0.88866,1.22046,0.78762,0.66198,0.72333,0.45571,1.35454,1.03678,1.3984,0.000474071,0.000474071,0.000474071
29,236.742,1.1722,0.86923,1.21658,0.76051,0.65674,0.7111,0.45537,1.33962,1.01459,1.36571,0.000438703,0.000438703,0.000438703
30,244.509,1.1619,0.87316,1.20427,0.74647,0.63746,0.71259,0.44947,1.32535,0.98772,1.333,0.000403335,0.000403335,0.000403335
31,252.721,1.10896,0.83953,1.1905,0.81731,0.63151,0.72288,0.4645,1.34727,0.97696,1.37093,0.000367967,0.000367967,0.000367967
32,260.412,1.12466,0.80472,1.21102,0.83766,0.63028,0.70833,0.45638,1.31007,0.972,1.33054,0.0003326,0.0003326,0.0003326
33,266.864,1.11027,0.77182,1.18559,0.76928,0.68664,0.73038,0.47097,1.26604,0.9509,1.31873,0.000297232,0.000297232,0.000297232
34,274.536,1.06337,0.72218,1.15435,0.83365,0.6544,0.73053,0.46758,1.29157,0.94248,1.33697,0.000261864,0.000261864,0.000261864
35,281.126,1.04468,0.70017,1.14981,0.79531,0.66943,0.73938,0.47655,1.2811,0.92493,1.34674,0.000226497,0.000226497,0.000226497
36,288.489,1.03747,0.69564,1.1397,0.84175,0.64056,0.74382,0.4839,1.26852,0.92249,1.33314,0.000191129,0.000191129,0.000191129
37,295.621,1.03086,0.69843,1.13639,0.80481,0.68991,0.74461,0.48536,1.23788,0.89742,1.31663,0.000155761,0.000155761,0.000155761
38,302.353,0.99215,0.6539,1.11394,0.81291,0.68721,0.74562,0.48635,1.25238,0.90042,1.32592,0.000120393,0.000120393,0.000120393
39,310,1.01523,0.66499,1.12855,0.81025,0.69065,0.75134,0.49128,1.2532,0.89144,1.32856,8.50255e-05,8.50255e-05,8.50255e-05
40,316.458,0.9875,0.66794,1.11622,0.82244,0.68116,0.74934,0.49224,1.24611,0.89753,1.32599,4.96578e-05,4.96578e-05,4.96578e-05
